row_id,sensor_id,timestamp,tz_offset,battery_v,co2_ppm,humidity_pct,formaldehyde_ugm3,pressure_mb,temperature_c,lvoc_ppb,pm1_ugm3,pm25_ugm3,pm4_ugm3,pm10_ugm3
2,241,2024-02-29 03:11:58,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
4,241,2024-02-29 17:09:08,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
5,326,2024-02-29 17:09:12,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
16,777,2024-02-29 17:10:24,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
24,869,2024-02-29 17:11:11,+11,4.125,465.0,56.0,17.0,1010.0,24.3,0.0,2.0,2.0,2.0,2.0
38,241,2024-02-29 17:22:34,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
39,326,2024-02-29 17:22:37,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
50,777,2024-02-29 17:23:42,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
58,869,2024-02-29 17:24:31,+11,4.125,445.0,56.0,17.0,1010.0,24.0,0.0,2.0,4.0,5.0,5.0
72,241,2024-02-29 17:35:57,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
73,326,2024-02-29 17:36:02,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
84,777,2024-02-29 17:37:13,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
92,869,2024-02-29 17:38:05,+11,4.125,471.0,56.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,2.0
106,241,2024-02-29 17:49:25,11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
107,326,2024-02-29 17:49:28,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
118,777,2024-02-29 17:50:38,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
126,869,2024-02-29 17:51:24,+11,4.125,457.0,56.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,3.0
140,241,2024-02-29 18:02:41,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
141,326,2024-02-29 18:02:44,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
152,777,2024-02-29 18:03:54,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
160,869,2024-02-29 18:04:45,+11,4.125,455.0,57.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,2.0
174,241,2024-02-29 18:16:10,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
175,326,2024-02-29 18:16:13,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
186,777,2024-02-29 18:17:22,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
194,869,2024-02-29 18:18:15,11,4.125,456.0,58.0,17.0,1010.0,23.5,0.0,2.0,4.0,5.0,5.0
208,241,2024-02-29 18:29:38,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
209,326,2024-02-29 18:29:41,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
220,777,2024-02-29 18:30:49,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
228,869,2024-02-29 18:31:36,+11,4.125,456.0,58.0,17.0,1010.0,23.3,0.0,1.0,1.0,1.0,1.0
242,241,2024-02-29 18:42:56,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
243,326,2024-02-29 18:43:00,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
254,777,2024-02-29 18:44:05,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
262,869,2024-02-29 18:44:56,+11,4.125,473.0,59.0,17.0,1010.0,23.3,0.0,1.0,1.0,1.0,1.0
276,241,2024-02-29 18:56:19,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
277,326,2024-02-29 18:56:23,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
288,777,2024-02-29 18:57:27,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
296,869,2024-02-29 18:58:18,+11,4.125,501.0,59.0,17.0,1010.0,23.3,0.0,1.0,2.0,2.0,2.0
310,241,2024-02-29 19:09:42,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
311,326,2024-02-29 19:09:45,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
322,777,2024-02-29 19:10:50,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
330,869,2024-02-29 19:11:33,+11,4.125,513.0,59.0,17.0,1010.0,23.0,0.0,1.0,1.0,1.0,1.0
344,241,2024-02-29 19:22:51,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
345,326,2024-02-29 19:22:55,11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
356,777,2024-02-29 19:24:00,11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
364,869,2024-02-29 19:24:52,+11,4.125,508.0,60.0,17.0,1010.0,23.0,0.0,2.0,4.0,7.0,7.0
378,241,2024-02-29 19:36:12,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
379,326,2024-02-29 19:36:15,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
390,777,2024-02-29 19:37:15,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
398,869,2024-02-29 19:38:02,+11,4.125,504.0,60.0,17.0,1011.0,22.8,0.0,1.0,3.0,4.0,4.0
412,241,2024-02-29 19:49:23,11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
413,326,2024-02-29 19:49:26,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
424,777,2024-02-29 19:50:39,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
432,869,2024-02-29 19:51:21,+11,4.125,489.0,60.0,17.0,1011.0,22.8,0.0,1.0,4.0,6.0,6.0
446,241,2024-02-29 20:02:39,+11,4.1875,603.0,66.0,6.0,1011.0,23.8,14.0,8.0,9.0,9.0,9.0
447,326,2024-02-29 20:02:43,+11,4.1875,525.0,68.0,5.0,1012.0,23.8,7.0,6.0,6.0,6.0,6.0
458,777,2024-02-29 20:03:55,+11,4.1562,425.0,51.0,1.0,1015.0,18.8,71.0,1.0,3.0,3.0,4.0
