dt,co2_ppm,temperature_c,humidity_pct,lvoc_ppb,pm25_ugm3,headcount
2024-03-01 00:00:00,447.0,23.0,54.0,0.0,18.0,0.3333333333333333
2024-03-01 00:15:00,459.0,23.0,54.0,0.0,9.0,0.3333333333333333
2024-03-01 00:30:00,459.0,23.0,54.0,0.0,6.0,0.3333333333333333
2024-03-01 00:45:00,454.0,23.0,54.0,0.0,11.0,0.3333333333333333
2024-03-01 01:00:00,460.0,23.0,54.0,0.0,10.0,0.3333333333333333
2024-03-01 01:15:00,453.0,23.0,54.0,0.0,8.0,0.3333333333333333
2024-03-01 01:30:00,442.0,23.0,54.0,1.0,13.0,0.3333333333333333
2024-03-01 01:45:00,440.0,23.0,54.0,0.0,14.0,0.3333333333333333
2024-03-01 02:00:00,449.0,22.8,54.0,0.0,18.0,0.3333333333333333
2024-03-01 02:15:00,443.0,22.8,54.0,0.0,9.0,0.3333333333333333
2024-03-01 02:30:00,437.0,22.8,54.0,1.0,13.0,0.3333333333333333
2024-03-01 02:45:00,445.0,22.8,54.0,3.0,13.0,0.3333333333333333
2024-03-01 03:00:00,436.0,22.8,54.0,1.0,12.0,0.3333333333333333
2024-03-01 03:15:00,435.0,22.5,54.0,1.0,12.0,0.3333333333333333
2024-03-01 03:30:00,437.0,22.5,54.0,1.0,8.0,0.3333333333333333
2024-03-01 03:45:00,429.0,22.5,53.0,1.0,14.0,0.3333333333333333
2024-03-01 04:00:00,447.0,22.5,53.0,3.0,13.0,0.3333333333333333
2024-03-01 04:15:00,441.0,22.3,53.0,3.0,18.0,0.3333333333333333
2024-03-01 04:30:00,440.0,22.3,53.0,3.0,14.0,0.3333333333333333
2024-03-01 04:45:00,444.0,22.3,53.0,6.0,20.0,0.3333333333333333
2024-03-01 05:00:00,446.5,22.0,53.0,7.5,18.0,0.3333333333333333
2024-03-01 05:15:00,443.0,22.0,53.0,6.0,15.0,0.3333333333333333
2024-03-01 05:30:00,440.0,22.0,53.0,6.0,15.0,0.3333333333333333
2024-03-01 05:45:00,457.0,22.0,53.0,3.0,12.0,0.3333333333333333
2024-03-01 06:00:00,446.0,22.0,53.0,6.0,15.0,0.3333333333333333
2024-03-01 06:15:00,449.0,22.0,54.0,11.0,20.0,0.3333333333333333
2024-03-01 06:30:00,446.0,22.0,54.0,3.0,17.0,0.3333333333333333
2024-03-01 06:45:00,466.0,22.0,54.0,6.0,12.0,0.3333333333333333
2024-03-01 07:00:00,468.0,21.8,53.5,6.0,10.5,0.5
2024-03-01 07:15:00,452.0,22.0,54.0,0.0,6.0,0.6666666666666667
2024-03-01 07:30:00,480.0,22.3,53.0,0.0,1.0,0.8333333333333333
2024-03-01 07:45:00,476.0,22.8,53.0,0.0,2.0,1.0
2024-03-01 08:00:00,464.0,23.3,52.0,0.0,3.0,0.5555555555555556
2024-03-01 08:15:00,468.0,23.5,52.0,0.0,1.0,0.2857142857142857
2024-03-01 08:30:00,469.0,23.5,52.0,0.0,1.0,1.0
2024-03-01 08:45:00,466.0,23.5,53.0,0.0,4.0,0.3333333333333333
2024-03-01 09:00:00,488.0,23.5,53.0,0.0,2.0,0.38461538461538464
2024-03-01 09:15:00,479.0,23.5,53.0,0.0,2.0,0.3333333333333333
2024-03-01 09:30:00,485.0,23.5,53.0,0.0,3.0,0.9333333333333333
2024-03-01 09:45:00,484.0,23.8,53.0,0.0,1.0,0.7916666666666666
2024-03-01 10:00:00,485.0,23.8,53.0,0.0,1.0,1.86
2024-03-01 10:15:00,543.0,24.3,52.0,0.0,2.5,0.3333333333333333
2024-03-01 10:30:00,560.0,24.5,51.0,0.0,3.0,0.6
2024-03-01 10:45:00,550.0,24.8,50.0,0.0,3.0,2.0
