row_id,sensor_id,timestamp,tz_offset,battery_v,co2_ppm,humidity_pct,formaldehyde_ugm3,pressure_mb,temperature_c,lvoc_ppb,pm1_ugm3,pm25_ugm3,pm4_ugm3,pm10_ugm3
24,869,2024-02-29 17:11:11,+11,4.125,465.0,56.0,17.0,1010.0,24.3,0.0,2.0,2.0,2.0,2.0
58,869,2024-02-29 17:24:31,+11,4.125,445.0,56.0,17.0,1010.0,24.0,0.0,2.0,4.0,5.0,5.0
92,869,2024-02-29 17:38:05,+11,4.125,471.0,56.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,2.0
126,869,2024-02-29 17:51:24,+11,4.125,457.0,56.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,3.0
160,869,2024-02-29 18:04:45,+11,4.125,455.0,57.0,17.0,1010.0,23.8,0.0,1.0,2.0,2.0,2.0
194,869,2024-02-29 18:18:15,11,4.125,456.0,58.0,17.0,1010.0,23.5,0.0,2.0,4.0,5.0,5.0
228,869,2024-02-29 18:31:36,+11,4.125,456.0,58.0,17.0,1010.0,23.3,0.0,1.0,1.0,1.0,1.0
262,869,2024-02-29 18:44:56,+11,4.125,473.0,59.0,17.0,1010.0,23.3,0.0,1.0,1.0,1.0,1.0
296,869,2024-02-29 18:58:18,+11,4.125,501.0,59.0,17.0,1010.0,23.3,0.0,1.0,2.0,2.0,2.0
330,869,2024-02-29 19:11:33,+11,4.125,513.0,59.0,17.0,1010.0,23.0,0.0,1.0,1.0,1.0,1.0
364,869,2024-02-29 19:24:52,+11,4.125,508.0,60.0,17.0,1010.0,23.0,0.0,2.0,4.0,7.0,7.0
398,869,2024-02-29 19:38:02,+11,4.125,504.0,60.0,17.0,1011.0,22.8,0.0,1.0,3.0,4.0,4.0
432,869,2024-02-29 19:51:21,+11,4.125,489.0,60.0,17.0,1011.0,22.8,0.0,1.0,4.0,6.0,6.0
466,869,2024-02-29 20:04:48,+11,4.125,507.0,59.0,17.0,1011.0,22.8,0.0,1.0,1.0,1.0,1.0
500,869,2024-02-29 20:18:14,+11,4.125,478.0,59.0,17.0,1011.0,22.5,616.0,1.0,2.0,3.0,3.0
534,869,2024-02-29 20:31:33,11,4.125,478.0,58.0,17.0,1011.0,22.3,308.0,1.0,1.0,1.0,1.0
568,869,2024-02-29 20:45:06,11,4.125,482.0,58.0,17.0,1011.0,22.3,141.0,1.0,1.0,2.0,2.0
602,869,2024-02-29 20:58:31,+11,4.125,471.0,58.0,17.0,1011.0,22.0,34.0,3.0,3.0,3.0,3.0
636,869,2024-02-29 21:11:49,+11,4.125,474.0,57.0,17.0,1011.0,22.3,14.0,1.0,1.0,2.0,2.0
670,869,2024-02-29 21:25:15,+11,4.125,473.0,57.0,17.0,1011.0,22.3,3.0,2.0,2.0,3.0,3.0
704,869,2024-02-29 21:38:45,+11,4.125,475.0,56.0,17.0,1011.0,22.5,0.0,2.0,3.0,5.0,5.0
738,869,2024-02-29 21:52:02,+11,4.125,479.0,56.0,17.0,1011.0,22.5,0.0,3.0,3.0,3.0,3.0
772,869,2024-02-29 22:05:23,+11,4.125,441.0,56.0,17.0,1012.0,22.8,0.0,2.0,3.0,3.0,3.0
806,869,2024-02-29 22:18:50,+11,4.125,459.0,56.0,17.0,1011.0,22.8,0.0,1.0,1.0,2.0,2.0
840,869,2024-02-29 22:32:10,+11,4.125,459.0,56.0,17.0,1011.0,22.8,0.0,2.0,3.0,4.0,4.0
874,869,2024-02-29 22:45:48,+11,4.125,450.0,55.0,17.0,1011.0,23.0,0.0,1.0,1.0,1.0,1.0
908,869,2024-02-29 22:59:10,+11,4.125,450.0,55.0,17.0,1011.0,23.0,0.0,1.0,1.0,2.0,2.0
942,869,2024-02-29 23:12:33,+11,4.125,442.0,55.0,17.0,1011.0,23.0,0.0,1.0,2.0,3.0,3.0
976,869,2024-02-29 23:25:53,+11,4.125,453.0,55.0,17.0,1011.0,23.0,0.0,3.0,4.0,5.0,5.0
1010,869,2024-02-29 23:39:11,11,4.125,447.0,55.0,17.0,1011.0,23.0,0.0,4.0,8.0,11.0,12.0
1044,869,2024-02-29 23:52:31,+11,4.125,442.0,55.0,17.0,1011.0,23.0,0.0,3.0,5.0,7.0,7.0
1078,869,2024-03-01 00:05:58,+11,4.125,447.0,54.0,17.0,1011.0,23.0,0.0,10.0,18.0,23.0,24.0
1112,869,2024-03-01 00:19:16,1,4.125,459.0,54.0,17.0,1011.0,23.0,0.0,7.0,9.0,11.0,11.0
1146,869,2024-03-01 00:32:32,+11,4.125,459.0,54.0,17.0,1011.0,23.0,0.0,6.0,6.0,6.0,6.0
1180,869,2024-03-01 00:45:56,+11,4.125,457.0,54.0,17.0,1011.0,23.0,0.0,8.0,10.0,12.0,12.0
1214,869,2024-03-01 00:59:24,+11,4.125,451.0,54.0,17.0,1011.0,23.0,0.0,9.0,12.0,14.0,15.0
1248,869,2024-03-01 01:12:45,+11,4.125,460.0,54.0,17.0,1011.0,23.0,0.0,8.0,10.0,12.0,12.0
1282,869,2024-03-01 01:26:12,11,4.125,453.0,54.0,17.0,1011.0,23.0,0.0,6.0,8.0,9.0,10.0
1316,869,2024-03-01 01:39:38,+11,4.125,442.0,54.0,17.0,1011.0,23.0,1.0,10.0,13.0,15.0,15.0
1350,869,2024-03-01 01:52:57,+11,4.125,440.0,54.0,17.0,1011.0,23.0,0.0,11.0,14.0,15.0,16.0
1384,869,2024-03-01 02:06:28,+11,4.125,449.0,54.0,17.0,1010.0,22.8,0.0,11.0,18.0,24.0,25.0
1418,869,2024-03-01 02:19:52,+11,4.125,443.0,54.0,17.0,1010.0,22.8,0.0,8.0,9.0,9.0,10.0
1452,869,2024-03-01 02:33:12,+11,4.125,437.0,54.0,17.0,1010.0,22.8,1.0,9.0,13.0,16.0,17.0
1486,869,2024-03-01 02:46:38,+11,4.125,445.0,54.0,17.0,1010.0,22.8,3.0,11.0,13.0,13.0,14.0
